PoliceID,PoliceOfficeID,PoliceName,PoliceGender,PolicePhoneNumber,PoliceAddress
43,12,Benedicto Veronique,Male,294-344-4834,85716 Merrick Center
44,5,Terrel Ditchburn,Male,634-219-3304,20 Dahle Road
45,8,Kristien Toller,Female,403-449-4598,197 Pankratz Plaza
46,6,Siffre Labden,Male,523-724-6034,9 Mccormick Street
47,17,Giffer Kenewell,Male,698-472-6446,0799 Reinke Crossing
48,12,Cosme Mulderrig,Female,486-664-3188,976 Memorial Point
49,3,Shayne Menpes,Male,155-126-2243,86666 Summer Ridge Drive
50,18,Ardenia Banthorpe,Female,526-611-6554,12685 Sutteridge Plaza
51,11,Gerek Kneeshaw,Female,716-767-0213,93413 Little Fleur Terrace
52,11,Leonhard MacLucais,Male,221-680-9116,4483 Hallows Way
53,19,Salvador O'Sheilds,Female,617-356-2822,26093 Ronald Regan Court
54,19,Dosi Fiddian,Male,677-716-3659,1443 Sommers Center
55,20,Gaylord Trench,Female,194-587-8219,2 Clove Lane
56,6,Terrie Atwel,Male,583-377-9920,0 Vidon Point
57,9,Kyla Aleksankov,Female,615-237-2757,2582 Russell Drive
58,7,Agosto Fanner,Female,667-473-1792,3772 Di Loreto Parkway
59,2,Kain Ubsdell,Male,404-987-3099,921 Michigan Alley
60,17,Horten Mongain,Male,539-801-5489,5 Oak Crossing
61,18,Garfield Ranscombe,Female,555-745-1872,67962 Lerdahl Court
62,12,Brockie Beaumont,Female,915-200-7429,2785 Stone Corner Park
63,8,Dulcy Kingsman,Male,910-369-9262,1577 Union Crossing
64,1,Trina Ginger,Male,578-996-7319,0 Anzinger Center
65,2,Nickie Strathearn,Male,914-486-1055,7580 Waxwing Drive
66,12,Hillery Donke,Female,727-357-6746,5 Del Mar Street
67,11,Micheline Sterzaker,Male,475-316-1292,13 8th Street
68,20,Alexandro Kinchin,Female,290-192-0718,54 Farragut Street
69,5,Ardisj Stirtle,Female,626-649-8569,805 Red Cloud Court
70,8,Neille Linley,Male,541-505-5679,79 Hagan Pass
71,2,Anton Scurrah,Male,726-900-1342,90869 Dayton Center
72,18,Smitty Dearness,Female,605-721-2530,0608 Reindahl Center
73,13,Jaclin Veel,Female,608-273-6796,65073 Toban Drive
74,11,Nealon Pettegree,Male,731-277-4540,29195 Doe Crossing Center
75,17,Feliza Kirdsch,Male,422-933-6697,38524 Kipling Parkway
76,4,Hilde Juggings,Female,737-817-9744,7389 Schiller Crossing
77,15,Kelby Budget,Male,143-124-7381,0 International Center
78,8,Gaye Castagnaro,Female,309-823-4189,4416 Russell Junction
79,18,Arte Chastney,Female,185-266-4919,867 Havey Court
80,13,Karole Twinterman,Female,791-230-7893,5 Troy Hill
81,12,Winny Strewthers,Male,863-517-1604,1 2nd Lane
82,19,Wallie Gallamore,Male,658-852-1804,21 Morrow Hill
83,18,Toddie MacKowle,Male,629-406-5056,4774 Graedel Hill
84,16,Ragnar O' Cloney,Female,278-355-0634,8010 Northfield Terrace
85,9,Tobias Treher,Female,950-664-8573,479 Anniversary Place
86,16,Aggi Whines,Female,491-244-6847,757 Maple Wood Avenue
87,8,Merwyn Hendrichs,Male,682-752-7134,4 Clemons Terrace
88,16,Bibbye Higgonet,Male,612-212-0132,830 Brickson Park Street
89,1,Theo Wyldes,Female,937-689-0873,089 Superior Way
90,8,Bengt Cordelet,Female,470-892-8599,00077 Ramsey Parkway
91,9,Cornela Rhead,Female,749-693-5595,950 Bashford Crossing
92,16,Quintana Gerrett,Male,331-246-6475,9924 Waxwing Way
93,11,Rodger Zaple,Male,247-230-2307,4 Maywood Alley
94,13,Brandea Newband,Male,124-959-0262,634 Kedzie Circle
95,19,Jorge Peatheyjohns,Female,113-693-5686,0 Schiller Point
96,6,Izzy Du Pre,Female,156-288-1612,80 Pine View Place
97,17,Audra Giannazzi,Female,532-913-6129,37471 Graceland Avenue
98,13,Lion Marklow,Female,103-501-4899,06199 Dawn Junction
99,9,Christoph Imison,Male,837-416-8122,00837 Londonderry Road
100,11,Gun Basili,Male,310-856-3154,7 Granby Drive
